virksomhedsRegistreringsId,ejerkreds_aktiv_92,ejerkreds_aktiv_94,virksomhedsoplysninger_21,virksomhedsoplysninger_22,virksomhedsoplysninger_25,virksomhedsoplysninger_24,virksomhedsoplysninger_23,virksomhedsoplysninger_20,ejerkreds_aktiv_10,ejerkreds_aktiv_31,ejerkreds_aktiv_96,ejerkreds_aktiv_47,ejerkreds_aktiv_12,ejerkreds_aktiv_48,ejerkreds_aktiv_50,ejerkreds_aktiv_49,ejerkreds_aktiv_1,ejerkreds_aktiv_130,ejerkreds_aktiv_129,ejerkreds_aktiv_128,ejerkreds_aktiv_127,ejerkreds_aktiv_6,ejerkreds_aktiv_25,ejerkreds_aktiv_26,ejerkreds_aktiv_80,ejerkreds_aktiv_102,ejerkreds_aktiv_78,ejerkreds_ny_32,ejerkreds_aktiv_34,virksomhedsoplysninger_55,virksomhedsoplysninger_54,sagsoplysninger_3,ejerkreds_ny_34,sagsoplysninger_2,sagsoplysninger_30,sagsoplysninger_36,target
64,0,0,0.0,"-5,00e+06","-1,0e+06","2,55700000000000e-01","16,90500000000000",-500000.0,0.0,2.0,1.0,4,1,2,2,2,,,,,,,"-25565,0000000000",-25565.0,0.0,0.0,0,0.0,0.0,5,10,0,0,-2,0,2,False
65,0,0,,,,,,,,,,1,1,1,1,1,,,,,,,"-26479,0000000000",-26479.0,,,1,,1.0,8,10,0,0,-11,0,2,False
67,0,0,0.0,"0,00e+00","-1,0e+06","5,00000000000000e-01","476,19000000000000",0.0,0.0,4.0,,5,1,1,1,1,17.0,0.0,0.0,0.0,0.0,119.0,"-25447,0000000000",-25447.0,0.0,0.0,0,0.0,0.0,4,10,0,0,-38,0,2,True
68,1,0,-200000.0,"-5,00e+06","-4,0e+06","4,69341176470588e-01","22,00912280701754",-1000000.0,0.0,67.0,26.0,64,7,11,11,5,19.0,4.0,1.0,0.0,0.0,5.0,"-25552,0000000000",-25552.0,0.0,0.0,0,0.0,0.0,4,10,0,0,-15,0,2,False
69,0,0,,,,,,,0.0,4.0,,4,2,1,4,1,,,,,,,"-25511,0000000000",-25511.0,0.0,0.0,0,0.0,0.0,4,10,0,0,0,0,2,False
70,0,0,0.0,"-5,00e+06","-1,0e+06","3,42133333333333e-01","42,42333333333333",-500000.0,0.0,5.0,2.0,8,1,3,3,2,14.0,0.0,0.0,0.0,0.0,860.0,"-25560,0000000000",-25560.0,0.0,0.0,0,0.0,0.0,4,10,0,0,1,1,2,False
71,0,0,0.0,"-5,00e+06","-1,0e+06","4,58950000000000e-01","15,70500000000000",-500000.0,0.0,6.0,1.0,7,2,3,4,2,14.0,0.0,0.0,0.0,0.0,13.0,"-25554,0000000000",-25554.0,0.0,0.0,0,0.0,0.0,4,10,0,0,-13,1,2,True
72,0,0,0.0,"-5,00e+06","-1,0e+06","1,40083333333333e-01","160,17250000000001",-500000.0,0.0,2.0,19.0,22,2,2,2,2,,,,,,,"-25477,0000000000",-25477.0,0.0,0.0,1,0.0,1.0,8,10,0,0,-90,0,2,False
73,0,0,0.0,"-5,00e+06","-1,0e+06","2,53960000000000e-01","79,67500000000000",-500000.0,0.0,9.0,3.0,11,1,6,7,5,11.0,0.0,0.0,0.0,0.0,765.0,"-25565,0000000000",-25565.0,0.0,0.0,0,0.0,0.0,6,10,0,0,0,0,2,False
75,0,0,,,,,,,0.0,4.0,,4,2,3,3,3,,,,,,,"-25567,0000000000",-25567.0,0.0,0.0,0,0.0,0.0,4,10,0,0,0,0,2,False
76,0,1,-200000.0,"-5,00e+06","0,0e+00","0,00000000000000e+00","109,48000000000000",0.0,0.0,2.0,,3,1,1,1,1,4.0,0.0,0.0,0.0,0.0,167.0,"-25375,0000000000",-25375.0,0.0,0.0,0,0.0,0.0,4,10,0,0,-11,0,2,False
77,1,1,0.0,"-5,00e+06","-1,0e+06","4,66320000000000e-01","110,08400000000000",-500000.0,0.0,3.0,6.0,9,2,3,3,2,2.0,0.0,0.0,0.0,0.0,61.0,"-25566,0000000000",-25566.0,0.0,0.0,0,0.0,0.0,8,5,0,1,-1,0,1,False
78,0,0,0.0,"-5,00e+06","-1,0e+06","3,37466666666667e-01","67,19000000000000",-500000.0,0.0,1.0,3.0,5,1,2,2,2,,,,,,,"-25564,0000000000",-25564.0,0.0,1.0,0,0.0,0.0,4,10,0,0,-3,0,2,True
80,0,0,,,,,,,0.0,1.0,,1,1,1,1,1,,,,,,,"-25525,0000000000",-25525.0,1.0,1.0,0,0.0,1.0,5,15,0,1,-42,0,1,False
81,0,0,-200000.0,"-1,00e+07","-1,0e+06","1,28011111111111e-01","20,09222222222222",-500000.0,0.0,8.0,9.0,10,4,3,3,2,1.0,0.0,0.0,0.0,0.0,545.0,"-25548,0000000000",-25548.0,0.0,0.0,1,0.0,0.0,7,5,0,0,-4,0,2,False
82,0,0,,,,,,,0.0,1.0,,2,1,2,2,2,,,,,,,"-25565,0000000000",-25565.0,0.0,0.0,0,0.0,0.0,4,10,0,0,-2,0,2,False
83,1,0,0.0,"-5,00e+06","-1,0e+06","3,58400000000000e-01","166,43000000000001",-500000.0,0.0,8.0,4.0,12,3,2,2,2,12.0,0.0,0.0,0.0,0.0,15.0,"-25461,0000000000",-25461.0,0.0,1.0,0,0.0,0.0,9,10,0,0,-106,0,2,False
84,0,1,0.0,"-5,00e+06","-1,0e+06","5,22000000000000e-02","82,41000000000000",-500000.0,0.0,1.0,3.0,5,1,3,3,3,,,,,,,"-25566,0000000000",-25566.0,0.0,0.0,0,0.0,0.0,6,10,0,0,17,0,2,False
85,0,0,,,,,,,0.0,2.0,2.0,2,2,2,2,2,,,,,,,"-25559,0000000000",-25559.0,0.0,0.0,0,0.0,0.0,5,5,0,1,-8,0,1,False
87,0,0,0.0,"-5,00e+06","-1,0e+06","1,34666666666667e-02","267,56666666666666",-500000.0,0.0,3.0,1.0,4,2,2,2,2,,,,,,,"-25547,0000000000",-25547.0,0.0,1.0,1,0.0,1.0,6,10,0,0,-20,0,2,False
88,0,0,0.0,"-5,00e+06","-1,0e+06","1,73000000000000e-02","60,53000000000000",0.0,0.0,2.0,,3,1,2,2,2,2.0,0.0,0.0,0.0,0.0,1006.0,"-25564,0000000000",-25564.0,0.0,0.0,0,0.0,0.0,4,10,0,0,-3,1,2,False
89,0,0,0.0,"-5,00e+06","-1,0e+06","3,86290000000000e-01","54,17555555555555",-500000.0,0.0,2.0,10.0,11,2,2,2,2,,,,,,,"-25471,0000000000",-25471.0,0.0,0.0,0,0.0,0.0,4,10,0,0,0,0,2,False
90,0,0,-200000.0,"-5,00e+06","-1,0e+06","4,77475000000000e-01","39,05750000000000",-500000.0,0.0,1.0,4.0,6,1,2,2,1,,,,,,,"-25553,0000000000",-25553.0,0.0,0.0,0,0.0,0.0,0,10,0,0,-14,0,2,False
91,1,1,0.0,"-5,00e+06","-1,0e+06","2,17100000000000e-01","115,30999999999999",-500000.0,700000.0,7.0,2.0,10,1,6,6,6,15.0,0.0,0.0,0.0,0.0,90.0,"-25566,0000000000",-25566.0,0.0,0.0,0,0.0,0.0,7,10,0,0,0,0,2,False
92,1,1,0.0,"-5,00e+06","-1,0e+06","2,85714285714286e-01","373,33142857142855",0.0,0.0,3.0,9.0,9,2,3,3,3,18.0,0.0,0.0,0.0,0.0,2003.0,"-25567,0000000000",-25567.0,0.0,0.0,0,0.0,0.0,5,5,0,1,0,0,1,False
93,0,0,0.0,"-5,00e+06","-1,0e+06","4,41160000000000e-01","49,62800000000000",-500000.0,0.0,7.0,4.0,6,3,2,2,2,11.0,0.0,0.0,0.0,0.0,1207.0,"-25564,0000000000",-25564.0,0.0,0.0,0,0.0,0.0,7,10,0,0,-3,0,2,False
94,0,0,0.0,"-5,00e+06","-1,0e+06","5,31300000000000e-01","23,49666666666667",-500000.0,0.0,4.0,,5,1,1,1,1,4.0,0.0,0.0,0.0,0.0,2193.0,"-25434,0000000000",-25434.0,0.0,0.0,0,0.0,0.0,7,10,0,0,-133,0,2,False
95,0,0,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,1,,,9,15,0,1,-4,0,1,False
96,0,0,,,,,,,0.0,4.0,4.0,4,2,3,4,3,,,,,,,"-25635,5000000000",-25773.0,0.0,0.0,0,0.0,0.0,4,10,0,0,-69,0,2,False
97,1,0,0.0,"-5,00e+06","-1,0e+06","2,13201694915254e-01","24,14423728813559",-500000.0,0.0,63.0,22.0,51,3,7,8,7,32.0,0.0,0.0,0.0,0.0,174.0,"-25534,0000000000",-25534.0,0.0,0.0,0,0.0,0.0,6,10,1,0,-33,0,2,False
99,0,0,0.0,"-5,00e+06","-1,0e+06","1,29000000000000e-01","9,84000000000000",-500000.0,0.0,12.0,28.0,9,3,5,5,5,8.0,0.0,0.0,0.0,0.0,84.0,"-25403,0000000000",-25403.0,0.0,0.0,0,0.0,0.0,5,5,0,0,-2,0,2,False
